, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (�)
1,200000.0,0.2000,-41.83,28.57
2,204658.6,0.2000,-42.46,25.96
3,209425.7,0.2000,-42.30,30.01
4,214303.9,0.2000,-42.49,25.03
5,219295.6,0.2000,-41.33,25.63
6,224403.7,0.2000,-41.50,24.63
7,229630.7,0.2000,-41.68,26.67
8,234979.5,0.2000,-42.03,26.72
9,240452.9,0.2000,-42.49,25.76
10,246053.8,0.2000,-42.07,22.57
11,251785.1,0.2000,-41.47,26.37
12,257649.9,0.2000,-41.35,20.45
13,263651.3,0.2000,-41.19,21.86
14,269792.6,0.2000,-40.82,21.80
15,276076.9,0.2000,-41.16,23.51
16,282507.5,0.2000,-41.40,22.56
17,289088.0,0.2000,-41.56,21.28
18,295821.7,0.2000,-42.31,21.55
19,302712.2,0.2000,-42.14,20.81
20,309763.3,0.2000,-41.89,20.14
21,316978.6,0.2000,-42.51,19.04
22,324362.0,0.2000,-41.97,17.16
23,331917.4,0.2000,-41.88,19.01
24,339648.7,0.2000,-41.74,18.72
25,347560.2,0.2000,-42.55,18.55
26,355655.9,0.2000,-42.71,15.89
27,363940.2,0.2000,-43.07,15.66
28,372417.4,0.2000,-44.07,15.05
29,381092.1,0.2000,-45.45,14.90
30,389968.9,0.2000,-46.17,15.59
31,399052.5,0.2000,-49.62,27.41
32,408347.6,0.2000,-53.02,19.02
33,417859.2,0.2000,-60.30,131.32
34,427592.4,0.2000,-44.34,-50.30
35,437552.3,0.2000,-10.26,-95.61
36,447744.2,0.2000,-2.21,103.70
37,458173.5,0.2000,-1.93,-6.69
38,468845.8,0.2000,-4.95,-124.99
39,479766.6,0.2000,-25.14,78.55
40,490941.8,0.2000,-59.01,109.84
41,502377.3,0.2000,-59.21,42.58
42,514079.2,0.2000,-47.93,33.73
43,526053.6,0.2000,-45.98,32.30
44,538307.0,0.2000,-43.31,27.84
45,550845.7,0.2000,-42.13,28.53
46,563676.6,0.2000,-41.70,21.98
47,576806.3,0.2000,-44.95,29.22
48,590241.8,0.2000,-28.70,83.37
49,603990.3,0.2000,-31.09,16.94
50,618059.1,0.2000,-22.93,-27.64
51,632455.5,0.2000,-63.29,-155.70
52,647187.3,0.2000,-47.83,13.84
53,662262.2,0.2000,-42.88,21.09
54,677688.3,0.2000,-41.29,14.67
55,693473.7,0.2000,-40.47,15.98
56,709626.8,0.2000,-40.00,10.03
57,726156.1,0.2000,-45.14,0.86
58,743070.5,0.2000,-42.89,11.24
59,760378.8,0.2000,-42.28,4.25
60,778090.3,0.2000,-41.31,9.85
61,796214.3,0.2000,-40.18,12.59
62,814760.6,0.2000,-40.63,12.77
63,833738.8,0.2000,-40.62,12.80
64,853159.0,0.2000,-40.23,8.52
65,873031.7,0.2000,-41.37,12.56
66,893367.2,0.2000,-39.91,12.48
67,914176.4,0.2000,-39.27,-6.57
68,935470.3,0.2000,-41.14,5.37
69,957260.2,0.2000,-39.98,9.75
70,979557.6,0.2000,-38.68,7.61
71,1002374.5,0.2000,-40.35,-38.11
72,1025722.8,0.2000,-44.84,-4.39
73,1049614.9,0.2000,-37.50,-16.16
74,1074063.6,0.2000,-51.47,-24.46
75,1099081.7,0.2000,-49.59,3.44
76,1124682.7,0.2000,-40.38,67.85
77,1150879.9,0.2000,-47.32,111.98
78,1177687.3,0.2000,-31.88,26.43
79,1205119.2,0.2000,-35.82,11.02
80,1233190.0,0.2000,-37.90,10.02
81,1261914.7,0.2000,-39.45,10.97
82,1291308.5,0.2000,-36.26,5.87
83,1321386.9,0.2000,-38.92,-15.18
84,1352166.0,0.2000,-39.06,5.84
85,1383661.9,0.2000,-38.75,7.07
86,1415891.6,0.2000,-38.94,3.78
87,1448871.9,0.2000,-38.81,3.74
88,1482620.5,0.2000,-38.46,8.45
89,1517155.2,0.2000,-37.15,-5.52
90,1552494.2,0.2000,-38.60,0.62
91,1588656.5,0.2000,-38.39,0.11
92,1625661.0,0.2000,-36.32,4.37
93,1663527.5,0.2000,-39.08,-4.47
94,1702276.1,0.2000,-36.11,1.21
95,1741927.2,0.2000,-32.90,-11.26
96,1782501.9,0.2000,-29.12,-27.31
97,1824021.7,0.2000,-39.42,-28.34
98,1866508.6,0.2000,-35.16,14.10
99,1909985.2,0.2000,-12.12,-162.76
100,1954474.4,0.2000,-60.12,157.28
101,2000000.0,0.2000,-57.63,21.27
